код,закупка,валюта,группа,подгруппа,наименование,описание,наличие,?
2578835,362500.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi LP-TW4001 (УКФ интерактив),"Hitachi LP-TW4001 (УКФ интерактив) Лазерный, Интерактивный, Ультракороткофокусный, LCD, WXGA, 1280x800, 4200 Lm, 500000:1, 20000 часов, TR 0.3, VGA x2, HDMI x2, композитный, аудио mini jack, аудио RCA, USB (A) x2, USB (B), RS232, RJ45, MHL, 34 дБ, 7.9 кг, 512x424x155 мм, цвет белый",,?
2578680,380000.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi LP-WU3500EF,"Hitachi LP-WU3500EF LED Проектор LP-WU3500 (с объективом), DLP, WUXGA, 1920x1200, 3500 Lm, контрастность 30000:1, сшивка и коррекция геометрии, срок службы всех компонентов проектора 20000 часов",,?
2578683,408000.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi LP-WU6500,"Hitachi LP-WU6500 Лазерный 1-чиповый DLP-проектор (с объективом), WUXGA, 1920x1200, 5000 Lm, 30000:1, HDBaseT, HDMI x2, DVI-D, вес 28 кг, цвет белый",,?
2578684,757000.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi LP-WU6600,"Hitachi LP-WU6600 Лазерный 1-чиповый DLP-проектор (без объектива), WUXGA, 1920x1200, 6000 Lm, 20000:1, HDBaseT, HDMI x2, DVI-D, вес 28 кг, цвет белый",,?
2578831,818500.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi LP-WU6600-SD,"Hitachi LP-WU6600-SD Лазерный 1-чиповый DLP-проектор (со стандартным объективом), WUXGA, 1920x1200, 6000 Lm, 20000:1, HDBaseT, HDMI x2, DVI-D, вес 28 кг, цвет белый",,?
2578686,1999900.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi LP-WU9100,"Hitachi LP-WU9100 Лазерный 1-чиповый DLP-проектор Hitachi LP-WU9100 (без объектива), WUXGA, 1920x1200, 10000 Lm, 30000:1, HDBaseT, HDMI x2, DVI-D, вес 28 кг, цвет черный",,?
2578832,2070000.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi LP-WU9100-SD,"Hitachi LP-WU9100-SD Лазерный 1-чиповый DLP-проектор Hitachi LP-WU9100 (со стандартным объективом), WUXGA, 1920x1200, 10000 Lm, 30000:1, HDBaseT, HDMI x2, DVI-D, вес 28 кг, цвет черный",,?
2578685,1350000.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi LP-WU9750BGD,"Hitachi LP-WU9750BGD Лазерный 1-чиповый DLP-проектор Hitachi CP-WU9750 (без объектива), WUXGA, 1920х1200, 8000 Lm, контрастность 20000:1, портретный режим, HDBaseT, вес 29 кг",,?
2578833,1425000.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi LP-WU9750-SD,"Hitachi LP-WU9750-SD Лазерный 1-чиповый DLP-проектор Hitachi CP-WU9750 (со стандартным объективом), WUXGA, 1920х1200, 8000 Lm, контрастность 20000:1, портретный режим, HDBaseT, вес 29 кг",,?
2578678,380000.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi LP-WX3500EF,"Hitachi LP-WX3500EF LED Проектор LP-WU3500 (с объективом), DLP, WXGA, 1280x800, 3500 Lm, контрастность 30000:1, сшивка и коррекция геометрии, срок службы всех компонентов проектора 20000 часов",,?
2574973,180000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-AE8000EA,"Panasonic PT-AE8000EA 3D, 2,400 лм, LCD, FullHD (1080p), 500,000:1",,?
2573942,160000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-AR100EA,"Panasonic PT-AR100EA 2,800 лм, LCD, FullHD (1080p), 50,000:1",,?
2571838,125000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-D5000ELS,"Panasonic PT-D5000ELS DLP, 1024х768, 1000:1, 5000 Lm, 2-х ламповый, VGA, DVI, RGB (BNC), S-Video, композитный, компонентный, RS-232, Ethernet, 15.2 кг, 498x175x432 мм. Без объектива, моторизованные зум-фокус, сменная оптика",,?
2571837,155000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-D5000ES,"Panasonic PT-D5000ES DLP, 1024х768, 1000:1, 5000 Lm, 2-х ламповый, VGA, DVI, RGB (BNC), S-Video, композитный, компонентный, RS-232, Ethernet, 16 кг, 498x175x440 мм, моторизованные зум-фокус, сменная оптика",,?
2571836,249000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-D6000ELS,"Panasonic PT-D6000ELS DLP, 1024х768, 2000:1, 6500 Lm, 2-х ламповый, VGA, DVI, RGB (BNC), S-Video, композитный, компонентный, RS-232, Ethernet, 16 кг, 498x175x440 мм. Без объектива, моторизованные зум-фокус, сменная оптика, цвет белый",,?
2571834,277000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-D6000ES,"Panasonic PT-D6000ES DLP, 1024х768, 2000:1, 6500 Lm, 2-х ламповый, VGA, DVI, RGB (BNC), S-Video, композитный, компонентный, RS-232, Ethernet, 16 кг, 498x175x440 мм, моторизованные зум-фокус, сменная оптика, цвет белый",,?
2576299,3300000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-DS12KE,"Panasonic PT-DS12KE 12,000 лм, SXGA+, 10,000:1, 2 лампы",,?
2574238,5350000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-DS20K2E,"Panasonic PT-DS20K2E 20 000 лм, SXGA+, 10,000:1, 4 лампы, 24/7, без объектива (частота 120Hz, уровень шума 46dB, срок службы лампы 3000ч.)",,?
2576287,2350000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-DW11KE,"Panasonic PT-DW11KE 11,000 лм, WXGA, 10,000:1, 2 лампы",,?
2574239,3800000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-DW17K2E,"Panasonic PT-DW17K2E 17 000 лм, WXGA, 10,000:1, 4 лампы, 24/7, без объектива (частота 120Hz, уровень шума 46dB, срок службы лампы 3000ч.)",,?
2573954,190000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-DW530E,"Panasonic PT-DW530E 4,000 лм, 1280x800, DLP, 2000:1",,?
2576291,315000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-DW640EK,"Panasonic PT-DW640EK 6,000 лм, 1280x800, 2 000:1, 2 лампы, черный,  со стандартным объективом",,?
2576292,290000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-DW640ELK,"Panasonic PT-DW640ELK 6,000 лм, 1280x800, 2 000:1, 2 лампы, черный, без объектива",,?
2576294,290000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-DW640ELS,"Panasonic PT-DW640ELS 6,000 лм, 1280x800, 2 000:1, 2 лампы, серебристый, без объектива",,?
2576293,315000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-DW640ES,"Panasonic PT-DW640ES 6,000 лм, 1280x800, 2 000:1, 2 лампы, серебристый,  со стандартным объективом",,?
2576295,570000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-DW750BE,"Panasonic PT-DW750BE 7 000 лм, WXGA, Digital Link, 2 лампы, черный, 24/7, со стандартным объективом (уровень шума 30dB, срок службы лампы 4000ч.)",,?
2576296,540000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-DW750LBE,"Panasonic PT-DW750LBE 7 000 лм, WXGA, Digital Link, 2 лампы, черный, 24/7, без объектива (уровень шума 30dB, срок службы лампы 4000ч.)",,?
2576298,540000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-DW750LWE,"Panasonic PT-DW750LWE 7 000 лм, WXGA, Digital Link, 2 лампы, белый, 24/7, без объектива (уровень шума 30dB, срок службы лампы 4000ч.)",,?
2576297,570000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-DW750WE,"Panasonic PT-DW750WE 7 000 лм, WXGA, Digital Link, 2 лампы, белый, 24/7, со стандартным объективом (уровень шума 30dB, срок службы лампы 4000ч.)",,?
2576289,720000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-DW830EK,"Panasonic PT-DW830EK 8,500 лм, WXGA, 10,000:1, Digital Link, 2 лампы, черный, со стандартным объективом",,?
2576290,690000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-DW830ELK,"Panasonic PT-DW830ELK 8,500 лм, WXGA, 10,000:1, Digital Link, 2 лампы, черный, без объектива",,?
2576281,800000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-DX100EK,"Panasonic PT-DX100EK 10,000 лм, XGA, 10,000:1, Digital Link, 2 лампы, черный, со стандартным объективом",,?
2576282,770000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-DX100ELK,"Panasonic PT-DX100ELK 10,000 лм, XGA, 10,000:1, Digital Link, 2 лампы, черный, без объектива",,?
2573951,335000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-DX810ELS,"Panasonic PT-DX810ELS 8,200 лм, 1024x768, 2,000:1, 2 лампы, серебристый, без объектива",,?
2573953,355000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-DX810ES,"Panasonic PT-DX810ES 8,200 лм, 1024x768, 2,000:1, 2 лампы, серебристый, со стандартным объективом",,?
2576283,570000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-DX820BE,"Panasonic PT-DX820BE 8 200 лм, XGA, Digital Link, 2 лампы, черный, 24/7, со стандартным объективом (уровень шума 30dB, срок службы лампы 4000ч.)",,?
2576284,540000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-DX820LBE,"Panasonic PT-DX820LBE 8 200 лм, XGA, Digital Link, 2 лампы, черный, 24/7, без объектива (уровень шума 30dB, срок службы лампы 4000ч.)",,?
2576285,540000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-DX820LWE,"Panasonic PT-DX820LWE 8 200 лм, WXGA, Digital Link, 2 лампы, белый, 24/7, без объектива (уровень шума 30dB, срок службы лампы 4000ч.)",,?
2576286,570000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-DX820WE,"Panasonic PT-DX820WE 8 200 лм, XGA, Digital Link, 2 лампы, белый, 24/7, со стандартным объективом (уровень шума 30dB, срок службы лампы 4000ч.)",,?
2576302,3950000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-DZ10KE,"Panasonic PT-DZ10KE 10,600 лм, WUXGA, 10,000:1, 2 лампы",,?
2576301,4700000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-DZ13KE,"Panasonic PT-DZ13KE 12,000 лм, WUXGA, 10,000:1, 2 лампы",,?
2576300,5900000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-DZ16K2E,"Panasonic PT-DZ16K2E 16 000 лм, FullHD, 10,000:1, 4 лампы, 24/7, без объектива (частота 120Hz, уровень шума 46dB, срок службы лампы 3000ч.)",,?
2574237,7200000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-DZ21K2E,"Panasonic PT-DZ21K2E 20 000 лм, WUXGA, 10,000:1, 4 лампы, 24/7, без объектива  (частота 120Hz, уровень шума 46dB, срок службы лампы 3000ч.)",,?
2573602,445000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-DZ570E,"Panasonic PT-DZ570E 4,000 лм,  1920x1200,DLP, 2000:1",,?
2576303,850000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-DZ780BE,"Panasonic PT-DZ780BE 7 000 лм, WUXGA, Digital Link, 2 лампы, черный, 24/7, со стандартным объективом (уровень шума 30dB, срок службы лампы 4000ч.)",,?
2576304,820000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-DZ780LBE,"Panasonic PT-DZ780LBE 7 000 лм, WUXGA, Digital Link, 2 лампы, черный, 24/7, без объектива (уровень шума 30dB, срок службы лампы 4000ч.",,?
2576305,820000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-DZ780LWE,"Panasonic PT-DZ780LWE 7 000 лм, WUXGA, Digital Link, 2 лампы, белый, 24/7, без объектива (уровень шума 30dB, срок службы лампы 4000ч.)",,?
2576306,850000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-DZ780WE,"Panasonic PT-DZ780WE 7 000 лм, WUXGA, Digital Link, 2 лампы, белый, 24/7, со стандартным объективом (уровень шума 30dB, срок службы лампы 4000ч.)",,?
2576307,1450000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-DZ870EK,"Panasonic PT-DZ870EK 8,500 лм, WUXGA, 10,000:1, Digital Link, 2 лампы, черный, со стандартным объективом",,?
2576308,1420000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-DZ870ELK,"Panasonic PT-DZ870ELK 8,500 лм, WUXGA, 10,000:1, Digital Link, 2 лампы, черный, без объектива",,?
2576313,235000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-EW540E,"Panasonic PT-EW540E 5 000 лм, WXGA, 2000:1, Digital Link, со стандартным объективом",,?
2576314,215000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-EW540EL,"Panasonic PT-EW540EL 5 000 лм, WXGA, 2000:1, Digital Link, без объектива",,?
2576315,255000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-EW640E,"Panasonic PT-EW640E 5 800 лм, WXGA, 5000:1, Digital Link, со стандартным объективом",,?
2576316,235000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-EW640EL,"Panasonic PT-EW640EL 5 800 лм, WXGA, 5000:1, Digital Link, без объектива",,?
2576317,385000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-EW730ZE,"Panasonic PT-EW730ZE 7 000 лм, WXGA, 5000:1, Digital Link, со стандартным объективом",,?
2576318,365000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-EW730ZLE,"Panasonic PT-EW730ZLE 7 000 лм, WXGA, 5000:1, Digital Link, без объектива",,?
2574227,925000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-EX12KE,"Panasonic PT-EX12KE 13,000 лм, 1024x768, 4000:1, 2 лампы, черный",,?
2573946,1150000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-EX16KE,"Panasonic PT-EX16KE 16,000 лм, 1024x768, 2500:1, 4 лампы, черный",,?
2574256,109500.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-EX500E,"Panasonic PT-EX500E 5,000 лм,1024x768, 2000:1 со стандартным объективом",,?
2574257,99900.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-EX500EL,"Panasonic PT-EX500EL 5,000 лм, 1024x768, 2000:1, без объектива",,?
2576309,230000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-EX510E,"Panasonic PT-EX510E 5 300 лм, XGA, 2000:1, Digital Link, со стандартным объективом",,?
2576310,210000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-EX510EL,"Panasonic PT-EX510EL 5 300 лм, XGA, 2000:1, Digital Link, без объектива",,?
2576311,245000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-EX610E,"Panasonic PT-EX610E 6 200 лм, XGA, 5000:1, Digital Link, со стандартным объективом",,?
2576312,225000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-EX610EL,"Panasonic PT-EX610EL 6 200 лм, XGA, 5000:1, Digital Link, без объектива",,?
2576320,380000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-EX800ZE,"Panasonic PT-EX800ZE 7 500 лм, XGA, 5000:1, Digital Link, со стандартным объективом",,?
2576319,360000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-EX800ZLE,"Panasonic PT-EX800ZLE 7 500 лм, XGA, 5000:1, Digital Link, без объектива",,?
2576321,360000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-EZ580E,"Panasonic PT-EZ580E 5 400 лм, WUXGA, 5000:1, Digital Link, со стандартным объективом",,?
2576322,340000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-EZ580EL,"Panasonic PT-EZ580EL 5 400 лм, WUXGA, 5000:1, Digital Link, без объектива",,?
2576324,630000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-EZ770ZE,"Panasonic PT-EZ770ZE 6 500 лм, WUXGA, 5000:1, Digital Link, со стандартным объективом",,?
2576323,600000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-EZ770ZLE,"Panasonic PT-EZ770ZLE 6 500 лм, WUXGA, 5000:1, Digital Link, без объектива",,?
2573957,145000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-FW430E,"Panasonic PT-FW430E 3,500 лм, 1280x800, LCD, 600:1",,?
2577116,280000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-JW130GBE,"Panasonic PT-JW130GBE 1 000 лм, 1280x800, лазерный проектор с креплением на трековую шину, черный",,?
2577115,280000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-JW130GWE,"Panasonic PT-JW130GWE 1 000 лм, 1280x800, лазерный проектор с креплением на трековую шину, белый",,?
2576272,47000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-LB280E,"Panasonic PT-LB280E 2 800 лм, LCD, XGA, 10000:1",,?
2576271,49000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-LB300E,"Panasonic PT-LB300E 3 100 лм, LCD, XGA, 10000:1",,?
2576270,53000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-LB330E,"Panasonic PT-LB330E 3 300 лм, LCD, XGA, 10000:1",,?
2576269,57000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-LB360E,"Panasonic PT-LB360E 3 700 лм, LCD, XGA, 10000:1",,?
2577200,67000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-LB382E,"Panasonic PT-LB382E 3 800 лм, LCD, XGA, 12000:1, WiFi опционально с модулем ET-WML100, срок службы лампы до 10000ч в режиме Eco2",,?
2576274,55000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-LW280E,"Panasonic PT-LW280E 2 800 лм, LCD, WXGA, 10000:1",,?
2576273,57000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-LW330E,"Panasonic PT-LW330E 3 300 лм, LCD, WXGA, 10000:1",,?
2577069,8500000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-RQ13KE,"Panasonic PT-RQ13KE 10 000 лм, 4K+ (5120x2880), 20,000:1, лазерный источник света (20 000 ч.), черный, 24/7",,?
2577067,4300000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-RS11KE,"Panasonic PT-RS11KE 12 000 лм, SXGA+, 20,000:1, лазерный источник света (20 000 ч.), черный, 24/7",,?
2577500,8500000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-RS30KE,"Panasonic PT-RS30KE 28 000 лм (Center), 27 000 лм, SXGA+, лазерный источник света (20 000 ч.), 24/7, без объектива",,?
2576278,290000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-RW330E,"Panasonic PT-RW330E 3,500 лм, 1280х800, LED/Laser, светодиодная лампа, 10,000:1",,?
2576279,335000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-RW430EK,"Panasonic PT-RW430EK 3,500 лм, 1280x800, LED/Laser, 3D,  светодиодная лампа, 20,000:1, черный",,?
2576280,335000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-RW430EW,"Panasonic PT-RW430EW 3,500 лм, 1280x800, LED/Laser, 3D, светодиодная лампа, 20,000:1, белый",,?
2577068,6000000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-RZ12KE,"Panasonic PT-RZ12KE 12 000 лм, WUXGA, 20,000:1, лазерный источник света (20 000 ч.), черный, 24/7",,?
2577498,11000000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-RZ31KE,"Panasonic PT-RZ31KE 28 000 лм (Center), 27 000 лм, WUXGA, лазерный источник света (20 000 ч.), 24/7, без объектива",,?
2576275,370000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-RZ370E,"Panasonic PT-RZ370E 3,500 лм, 1920х1080, LED/Laser,светодиодная лампа, 10,000:1",,?
2576276,415000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-RZ470EK,"Panasonic PT-RZ470EK 3,500 лм, 1920x1080, LED/Laser, 3D, светодиодная лампа, 20,000:1, черный",,?
2576277,415000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-RZ470EW,"Panasonic PT-RZ470EW 3,500 лм, 1920x1080, LED/Laser, 3D, светодиодная лампа, 20,000:1, белый",,?
2577066,700000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-RZ475E,"Panasonic PT-RZ475E 3,000 лм, 1920x1080, LED/Laser, 3D, светодиодная лампа, 20,000:1, черный",,?
2576329,880000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-RZ630BE,"Panasonic PT-RZ630BE 6 500 лм, WXGA, 10,000:1, Лазерный источник света (20 000 час.), черный, со стандартным объективом",,?
2576330,850000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-RZ630LBE,"Panasonic PT-RZ630LBE 6 500 лм, WXGA, 10,000:1, Лазерный источник света (20 000 час.), черный, без объектива",,?
2576331,850000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-RZ630LWE,"Panasonic PT-RZ630LWE 6 500 лм, WXGA, 10,000:1, Лазерный источник света (20 000 час.), белый, без объектива",,?
2576332,880000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-RZ630WE,"Panasonic PT-RZ630WE 6 500 лм, WXGA, 10,000:1, Лазерный источник света (20 000 час.), белый, со стандартным объективом",,?
2576325,1680000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-RZ670BE,"Panasonic PT-RZ670BE 6 500 лм, WUXGA, 10,000:1, Лазерный источник света (20 000 час.), черный, со стандартным объективом",,?
